"source","mean_score","mean_p_value","n"
"ATF4",-1.41573399766997,0.171785615348921,8
"DNMT1",-1.41573399766997,0.171785615348921,8
"EPAS1",-1.41573399766997,0.171785615348921,8
"PITX2",-1.41573399766997,0.171785615348921,8
"NFKB",1.36237632755521,0.251804079285539,8
"CEBPD",1.2563194142959,0.306295466918062,8
"CEBPG",1.2563194142959,0.306295466918062,8
"CREB1",-1.2563194142959,0.306295466918062,8
"ESR2",1.2563194142959,0.306295466918062,8
"NCOA1",1.2563194142959,0.306295466918062,8
"NR1H4",1.2563194142959,0.306295466918062,8
"TFAP2A",-1.2563194142959,0.306295466918062,8
"TOX3",1.2563194142959,0.306295466918062,8
"SP3",-1.20974888765316,0.258971048922632,8
"CEBPA",-1.10056321815741,0.296388452429576,8
"DBP",-1.10056321815741,0.296388452429576,8
"GATA4",-1.04062177521955,0.368480896345994,8
"PAX3",-1.04062177521955,0.368480896345994,8
"SPI1",-1.04062177521955,0.368480896345994,8
"SP1",-1.03123976669651,0.342897184593122,8
"NKX2-5",-0.920139004165652,0.368062826761358,8
"TP53",-0.920139004165652,0.368062826761358,8
"HNF4A",-0.692908866720283,0.388272254202007,8
"AP1",0.670258464929642,0.520115091794033,8
"CLOCK",0.670258464929642,0.520115091794033,8
"EGR1",0.670258464929642,0.520115091794033,8
"ETS1",0.670258464929642,0.520115091794033,8
"HIF1A",0.670258464929642,0.520115091794033,8
"JUN",0.670258464929642,0.520115091794033,8
"JUND",0.670258464929642,0.520115091794033,8
"KLF2",-0.670258464929642,0.520115091794033,8
"KLF4",-0.670258464929642,0.520115091794033,8
"KLF5",0.670258464929642,0.520115091794033,8
"NFKB1",0.670258464929642,0.520115091794033,8
"PITX3",0.670258464929642,0.520115091794033,8
"PPARD",-0.670258464929642,0.520115091794033,8
"PPARG",-0.670258464929642,0.520115091794033,8
"RARA",0.670258464929642,0.520115091794033,8
"REL",0.670258464929642,0.520115091794033,8
"RELA",0.670258464929642,0.520115091794033,8
"YBX1",-0.670258464929642,0.520115091794033,8
"FOS",-0.527099570582898,0.58227118013435,8
"NR1H2",0.414316748578759,0.695636030468527,8
"PPARA",0.414316748578759,0.695636030468527,8
"NR1H3",-0.297089078133675,0.613040055172253,8
"CEBPB",-0.11275449944314,0.64511052682758,8
"ESR1",-0.0112817714003803,0.610625448348699,8
