"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","neg_log10_padj","significant"
8722.41989968416,8.48039344946567,0.428949430578181,19.7701473528825,5.38185528032812e-87,9.11847740145994e-83,"Clca4b",82.0400776738809,"Up"
565.288889143564,-4.63263535313059,0.25105704131203,-18.45252110405,4.97682193734341e-76,4.21611470422047e-72,"Gm1123",71.3750875821569,"Down"
1602.95830252714,6.11869093174515,0.336948055923151,18.1591519054221,1.08690792718567e-73,6.13849367010225e-70,"Slpi",69.2119381876572,"Up"
3583.21060848702,7.20197211922582,0.430110334608773,16.744475869841,6.21353302278441e-63,2.63189725012591e-59,"Lrg1",58.5797310696836,"Up"
11619.5055220643,-1.96460036161605,0.141566770820537,-13.877552975384,8.6652005895919e-44,2.93628987178911e-40,"Tspan1",39.532201072903,"Down"
13888.5830158496,-8.5257196346309,0.621959635303332,-13.7078343202656,9.11376966813232e-43,2.57357665811943e-39,"Mptx1",38.5894628910616,"Down"
1622.9232742709,3.67091501604731,0.268213157894883,13.686558276481,1.22159899899815e-42,2.95679312000367e-39,"Marcksl1",38.5291790609943,"Up"
2463.6625134328,14.8800283967407,1.11092544567296,13.3942637237253,6.53205928901974e-41,1.38340850667327e-37,"S100a9",36.8590495581427,"Up"
706.785898920643,-4.50683086740113,0.337751508033308,-13.3436291480797,1.29022203813175e-40,2.42891466578513e-37,"Shisa2",36.614587742844,"Down"
3522.38823668741,9.65169094734298,0.736992128134469,13.096057039,3.46812139486614e-39,5.8760380793217e-36,"Saa3",35.2309153984526,"Up"
